symbol,date,eigencentrality,asset_price,price_volatility,gas_fee,gas_vol,market_cap,aave_deposit,aave_borrow,compound_supply,compound_borrow,volume_gross,volume_in,volume_out,defi_deposit,defi_borrow
USDC,20220517,0.878769,1.002742489,0.6444,7.90E-05,12.55800255,5.22E+10,1788096906,1108562336,1424722887,431844839.7,757814255.3,365475446.2,392338809.1,3212819793,1540407176
USDC,20220524,0.859891,1.00187195,0.7195,6.52E-05,12.33219536,53364339709,2306126674,1018070342,1109556534,444313232.6,653867318.1,333928472.8,319938845.3,3415683208,1462383575
USDC,20220531,0.876787,1.001250328,0.6844,0.000109744,9.691725923,53826859974,2133463083,951532822,1094698322,429425974.2,797791874.5,425015712.9,372776161.6,3228161405,1380958796
WETH,20220517,1,2026.973085,0.7862,7.90E-05,12.55800255,1.18E+10,2293557268,777452415.1,1605077889,139798087.4,995271110.3,523564951.1,471706159.2,3898635157,917250502.5
WETH,20220524,1,1976.383312,0.8235,6.52E-05,12.33219536,11498996925,2340387551,923070644.5,1591118209,113734688.9,821602959.1,399059406,422543553.2,3931505760,1036805333
WETH,20220531,1,1994.060668,0.9048,0.000109744,9.691725923,11394061671,2363044103,955359605.7,1369481966,25118199.52,961133190.8,452656452.4,508476738.4,3732526069,980477805.2
DAI,20220517,0.499025,1.001717623,0.6803,7.90E-05,12.55800255,6041005390,541042437,359537134.8,987049233,631511014.2,55044541.99,24577434.29,30467107.7,1528091670,991048149
DAI,20220524,0.465341,1.001592851,0.7635,6.52E-05,12.33219536,6181093850,643874684.9,416328083.7,792101990.1,438017841.7,39642372.1,18060640.61,21581731.49,1435976675,854345925.4
DAI,20220531,0.405181,1.000165589,0.7826,0.000109744,9.691725923,6295433632,392599924.9,199069903.4,764218998.9,409674090.4,45113681.38,11291458.25,33822223.13,1156818924,608743993.8
WBTC,20220517,0.46505,29920.69455,0.738,7.90E-05,12.55800255,8487196288,1448331717,56175444.6,43572783.13,15614.12064,257573216.6,118478235.1,139094981.5,1491904500,56191058.72
WBTC,20220524,0.492901,29175.88543,0.7806,6.52E-05,12.33219536,8061762069,1156815268,49537942.66,41806278.3,14806.31386,159673158,93531345.06,66141812.89,1198621546,49552748.97
WBTC,20220531,0.487446,31698.11295,0.7958,0.000109744,9.691725923,8679088513,1367231623,61496442.72,41569708.47,14878.81496,242392618.6,137935935.7,104456682.9,1408801331,61511321.53
USDT,20220517,0.519065,1.001371236,0.5361,7.90E-05,12.55800255,7.59E+10,797376507.3,592906620.7,735777670.7,361049283.7,204346479.3,99614379.87,104732099.5,1533154178,953955904.4
USDT,20220524,0.519065,1.001371236,0.5361,6.52E-05,12.33219536,7.59E+10,797376507.3,592906620.7,735777670.7,361049283.7,204346479.3,99614379.87,104732099.5,1533154178,953955904.4
USDT,20220531,0.520976,1.000411218,0.6072,0.000109744,9.691725923,72546423764,995742820.7,527433376.4,589855741.6,354056511,123412547.3,63773316.47,59639230.83,1585598562,881489887.4