,id,token0,token1,pastValidDays,pastTotalVolumeUSD,avgDailyVolumeUSD
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,31,14757241867.395296,476040060.23855793
1,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,31,4126321936.3989453,133107159.23867565
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,31,3352409896.1890965,108142254.71577731
3,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,31,2635908532.4146504,85029307.49724679
4,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,31,1971593290.7047107,63599783.5711197
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,31,1299212433.9155464,41910078.51340472
6,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,31,1011683848.5608175,32634962.856800564
7,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,31,876902453.0793456,28287175.90578534
8,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,31,810535269.8243775,26146299.026592825
9,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,31,779100164.2118573,25132263.361672815
10,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,31,747125992.2091731,24100838.458360422
11,0xd8de6af55f618a7bc69835d55ddc6582220c36c0,DYDX,WETH,31,676886946.8921117,21835062.802971344
12,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,31,395019934.38925713,12742578.528685713
13,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,31,388512981.79844356,12532676.832207857
14,0x3019d4e366576a88d28b623afaf3ecb9ec9d9580,AXS,WETH,31,387336786.1325874,12494735.036535077
15,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB,WETH,31,352606699.6151617,11374409.665005216
16,0x3b685307c8611afb2a9e83ebc8743dc20480716e,FTM,WETH,31,283587261.51424193,9147976.177878773
17,0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB,WETH,31,276679174.8585472,8925134.672856363
18,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,31,266893490.87504873,8609467.447582217
19,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,31,256308512.83356154,8268016.543018114
20,0xf1b63cd9d80f922514c04b0fd0a30373316dd75b,OHM,WETH,31,253128855.9600972,8165446.966454748
21,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,WETH,31,252276285.4107316,8137944.690668762
22,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI,USDT,31,229166361.08498582,7392463.260805994
23,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,31,225865363.28345907,7285979.460756744
24,0xd34e4855146ac0c6d0e4a652bd5fb54830f91ba8,STRONG,WETH,31,223651513.4463023,7214564.949880719
25,0x36bcf57291a291a6e0e0bff7b12b69b556bcd9ed,WETH,ICE,31,197210583.5804865,6361631.728402791
26,0x7685cd3ddd862b8745b1082a6acb19e14eaa74f3,RARE,WETH,31,186723251.47090676,6023330.692609896
27,0x92995d179a5528334356cb4dc5c6cbb1c068696c,USDC,UST,31,184828131.60441202,5962197.79369071
28,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,31,157665496.9488598,5085983.772543865
29,0x16980c16811bde2b3358c1ce4341541a4c772ec9,LUSD,DAI,31,140246559.96196958,4524082.579418373
30,0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,DAI,FEI,31,139368265.73676157,4495750.50763747
31,0xd35efae4097d005720608eaf37e42a5936c94b44,1INCH,WETH,31,128177558.7373451,4134759.9592691967
32,0x0cfbed8f2248d2735203f602be0cae5a3131ec68,WETH,SLP,31,112087291.08149046,3615719.0671448535
33,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,31,111726158.763395,3604069.6375288707
34,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,31,110099943.03581034,3551611.065671301
35,0x5d752f322befb038991579972e912b02f61a3dda,AGLD,WETH,31,103344043.62870373,3333678.8267323785
36,0xb03f87e577c4fe4685cf2c88a8473414bb1d04f1,FX,WETH,31,86620478.23661369,2794208.9753746353
37,0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,GALA,WETH,31,84936435.14521283,2739885.004684285
38,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,31,76040080.79286282,2452905.832027833
39,0x2fa7361d7e3b812375604681eb155a97b4d65e9e,aKLIMA,WETH,31,75625722.82758307,2439539.4460510667
40,0xcd83055557536eff25fd0eafbc56e74a1b4260b3,PERP,WETH,31,75038747.7107637,2420604.764863345
41,0x868b7bbbfe148516e5397f23982923686182c2d2,UST,USDT,31,74450750.07875805,2401637.099314776
42,0xa2ff3d4ffaf8c67cfc71a19ea437bcc2a9893d16,TKING,WETH,31,70995335.0821163,2290172.0994231068
43,0x80c7770b4399ae22149db17e97f9fc8a10ca5100,LYXe,WETH,31,70835007.15442023,2285000.2307877494
44,0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC,EURS,31,69542833.05957898,2243317.19547029
45,0x4c83a7f819a5c37d64b4c5a2f8238ea082fa1f4e,WETH,CRV,31,64000672.33746349,2064537.817337532
46,0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,LCX,WETH,31,62923188.75246843,2029780.2823376912
47,0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT,WETH,31,62372653.790523514,2012021.0900168875
48,0x3139bbba7f4b9125595cb4ebeefdac1fce7ab5f1,RUNE,WETH,31,61173705.22854479,1973345.3299530577
49,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,31,58126328.4206136,1875042.8522778582
